utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1648665579437,4071880283000000,18,,-1328628917154591240,0.07080078125,49.49463618686423,16.495594437882282,9.546353058304463,239,12,0.0,89103,326397359737110,12,32.4,300.8521728515625,0.04639999940991402,16,0.0,0.0,1.57542003E9,,,,0,,6,0.05,26.4,,,,,,
1648665579437,4071880283000000,18,,-1328628917154591240,0.07080078125,49.49463618686423,16.495594437882282,9.546353058304463,239,19,0.0,89103,326397349561311,12,32.7,1.7923188209533691,0.049400001764297485,16,0.0,0.0,1.57542003E9,,,,0,,6,0.05,26.700000000000003,,,,,,
1648665579437,4071880283000000,18,,-1328628917154591240,0.07080078125,49.49463618686423,16.495594437882282,9.546353058304463,239,25,0.0,89103,326397351989342,17,28.6,325.7171325683594,0.055799998342990875,16,0.0,0.0,1.57542003E9,,,,0,,6,0.05,22.6,,,,,,
1648665579437,4071880283000000,18,,-1328628917154591240,0.07080078125,49.49463618686423,16.495594437882282,9.546353058304463,239,36,0.0,89103,326397348363671,13,31.5,-401.2264404296875,0.04919999837875366,16,0.0,0.0,1.57542003E9,,,,0,,6,0.05,25.5,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,1,0.0,81935,326398362309207,11,33.0,-527.5052490234375,0.02590000070631504,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.09,29.5,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,8,0.0,81935,326398369766912,14,30.5,-15.569026947021484,0.03930000215768814,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.09,27.0,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,10,0.0,81935,326398364055685,4,43.6,439.5970153808594,0.02460000105202198,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.09,40.1,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,16,0.0,81935,326398353642867,31,23.7,716.7696533203125,0.6859999895095825,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.09,20.2,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,21,0.0,81935,326398366979180,7,37.0,-173.11231994628906,0.029600001871585846,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.09,33.5,,,,,,
1648665580437,4071881283000000,18,,-1328628917154591220,0.42578697204589844,49.75133924745023,16.160521221678483,10.52271681180152,239,22,0.0,81935,326398358159231,53,19.0,-523.1934204101562,1.0234999656677246,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.09,15.5,,,,,,
